job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings,total_skills,experience_category
1,AI Engineer,Startup,Retail,Canada,Remote,Senior,2,Master,0,0,0,1,0,158322,6,2024,Low,4,1,Entry
2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0,Bachelor,1,1,1,0,1,163666,11,2026,High,9,4,Entry
3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14,Master,1,0,1,0,1,158556,3,2026,High,9,3,Senior
4,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9,Master,0,1,0,1,1,95775,3,2025,High,7,3,Senior
5,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1,1,1,0,0,111873,12,2021,Low,2,3,Mid
6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6,Master,1,0,1,1,0,165878,5,2021,High,2,3,Mid
7,Data Scientist,MNC,Technology,Germany,Remote,Entry,14,Bachelor,0,0,0,0,0,67027,8,2026,High,8,0,Senior
8,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4,PhD,1,0,1,0,1,78392,8,2023,High,7,3,Mid
9,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2,PhD,0,0,0,0,1,123840,5,2021,Low,3,1,Entry
10,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9,Master,1,0,0,0,1,112408,4,2024,High,7,2,Senior
11,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10,PhD,0,1,0,1,0,103157,12,2021,Medium,3,2,Senior
12,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13,Master,0,1,1,0,1,142392,1,2020,High,9,3,Senior
13,Data Analyst,Medium,Finance,Germany,Remote,Entry,6,PhD,1,1,0,0,1,55663,11,2025,Low,5,3,Mid
14,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1,0,0,0,0,90698,1,2021,High,8,1,Mid
15,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2,Bachelor,1,1,0,1,1,135535,7,2023,Low,6,4,Entry
16,Data Analyst,MNC,Retail,USA,Onsite,Mid,3,Bachelor,1,1,1,0,0,114339,11,2025,Low,1,3,Entry
17,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2,Master,0,0,1,1,0,133680,1,2026,High,4,2,Entry
18,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6,Master,0,1,1,0,0,122049,1,2025,High,9,2,Mid
